text,label_text
"As stated by Judge Christian in the Rotner case, supra:","Fact, Fact, Invalid sentence, Other, Invalid sentence"
Any harm that was done was cured by the sub,"Fact, Analysis, Invalid sentence, Invalid sentence, Fact"
Beavers also obtained a check belonging to Johnny Jordan who lived in Little-,"Fact, Fact, Invalid sentence, Invalid sentence, Rule/Law/Holding"
"He further testified that, on such occasion, appellant was working at the place “taking or","Fact, Fact, Invalid sentence, Invalid sentence, Analysis"
It was the witness’s testimony that he thought if appellant had been driving,"Fact, Fact, Invalid sentence, Invalid sentence, Rule/Law/Holding"
"jury resolved such conflict as there was in the evidence against the appellant, and we find the evidence sufficient to support the conviction.","Fact, Fact, Invalid sentence, Invalid sentence, Issue"
ON appellant’s motion for rehearing,"Fact, Fact, Other, Other, Conclusion"
"subsequent proceedings had relative to the charge” in accordance with the provisions of Article 275a, V.A.C.C.P., does not, as appellant contends in his supplemental brief, vitiate the bond.","Fact, Analysis, Invalid sentence, Invalid sentence, Fact"
"R. 98, 275 S.W. 2d 112, we held that a toll bridge which was open to the use of and was being used by the public as a highway and thoroughfare was a public road within the statute prohibiting drunken driving.","Fact, Rule/Law/Holding, Invalid sentence, Invalid sentence, Fact"
Reliance is had upon Minor v.,"Fact, Rule/Law/Holding, Invalid sentence, Invalid sentence, Fact"
The case was tried before a jury and a verdict,"Fact, Fact, Invalid sentence, Invalid sentence, Conclusion"
The questions were not so framed as to infer as a fact,"Fact, Analysis, Invalid sentence, Fact, Invalid sentence"
"And the said defendant, John Leonard Lee, having on the 26th day of February, A.","Fact, Fact, Invalid sentence, Invalid sentence, Issue"
"The state’s attorney before this court points out in his brief that this case is controlled, as contended by appellant, by the case of Hubbard v.","Fact, Fact, Invalid sentence, Invalid sentence, Analysis"
"R. 219, 49 S.W. 2d 783, 784, we said: “it would be intolerable to think that when investigating the criminal liability of the drunken driver of an automobile on a roadway, more or greater proof would be required to establish the character of the road, than that it was or is open for the use, or used by the public for traffic.”","Fact, Rule/Law/Holding, Invalid sentence, Invalid sentence, Fact"
"All the cases cited by the appellant deal with photographs taken by others, not by the","Fact, Fact, Invalid sentence, Invalid sentence, Rule/Law/Holding"
"222, Regular Session of the 56th Legislature, page 504.","Fact, Rule/Law/Holding, Invalid sentence, Invalid sentence, Fact"
The trial judge does not appear to have been given the opportunity to require the record presentd as an informal bill to,"Fact, Fact, Invalid sentence, Invalid sentence, Conclusion"
"459, 314 S.W. 2d 605, the witness Monk testified that the man driving the Ford automobile involved in a collision with another car was the sole occupant thereof and that, following the collision, he saw this man “ ‘flying through the air’ ” and falling to the shoulder of the highway, where he lay motionless until the officers arrived.","Fact, Rule/Law/Holding, Invalid sentence, Fact, Invalid sentence"
"Under the record, the testimony was admissible under the rule stated in 4 Branch’s Ann.","Fact, Fact, Invalid sentence, Conclusion, Invalid sentence"
“Appellant takes issue with our statement in the original opinion that the holding in Rotner v.,"Fact, Invalid sentence, Invalid sentence, Fact"
"“The statements and conduct of prosecutrix said and done shortly after the transaction may be proved as original evidence if suffering excludes the idea of fabrication, and the statements or conduct are spontaneous and instinctive, and there is no break or let-down in the continuity of the transaction.","Fact, Analysis, Analysis, Fact"
"237, 312 S.W. 2d 517, held that when a motion for continuance was not sworn to personally by appellant, he could not complain of the action of the trial court in overruling the motion.","Rule/Law/Holding, Invalid sentence, Invalid sentence, Rule/Law/Holding"
"258, 262 S.W. 2d 488, this court held, the prosecution being for unlawfully possessing whisky and other alcoholic beverages for the purpose of sale in a dry area, that an officer’s reading to the jury labels on bottles of beer and whisky claimed to have been found in and about appellant’s house was not error when the appellant objected on the grounds of hearsay.","Rule/Law/Holding, Invalid sentence, Invalid sentence, Rule/Law/Holding"
"488, 278 S.W. 2d 167, wherein it was held that where subpoena for a witness had not been issued, the overruling of the motion for continuance was not error.","Rule/Law/Holding, Invalid sentence, Invalid sentence, Rule/Law/Holding"
"508, 243 S.W. 2d 846, a death penalty conviction, we held no reversible error was reflected by argument not objected to where no mandatory provision of the statutes are violated and no new and harmful fact is injected into the case.","Rule/Law/Holding, Invalid sentence, Conclusion, Issue"
"After carefully reviewing the evidence, we find that appellant failed to introduce evidence upon which the jury could base","Analysis, Invalid sentence, Conclusion, Fact"
"Appellant did not comply with the terms of Art. 540, V.A.C.C.P., which provides for the continuance of criminal actions on the written application of the state or of the defendant upon sufficient cause shown, which cause shall be fully set forth in the application.","Analysis, Rule/Law/Holding, Analysis, Rule/Law/Holding"
"Appellant filed an amended answer October 21, but therein","Fact, Invalid sentence, Invalid sentence, Fact"
Appellant relies upon Rotner v.,"Fact, Invalid sentence, Invalid sentence, Fact"
